"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT08","WT11","WT14","WT16","WT18"
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-02-12","11.2",,,,,,,,,,,,,,"    1",
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-02-13","17.5","25.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-01","0.0","0.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-02","23.4","76.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-03","0.0","0.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-04","0.0","0.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-05","0.0","0.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-06","10.7","33.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-07","0.0","0.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-08","0.0","0.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-09","0.0","0.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-10","0.0","0.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-11","0.0","0.0",,,,,,"    1",,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-12","2.0","0.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-13","0.0","0.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-14","28.4","10.0",,,,,,,,,,,,,"    1",
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-15","8.4","0.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-16","0.0","0.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-17","0.0","0.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-18","12.2","64.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-19","5.1","0.0",,,,,,,,,,,,,"    1",
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-20","6.9","0.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-21","0.0","0.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-22","0.0","0.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-23","0.0","0.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-24","0.0","0.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-25","0.0","0.0",,,,,,,,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-26","1.5","0.0",,,,,,"    1",,,,,,,,
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1925-03-27","0.0","0.0",,,,,,,,,,,,,,
